holdout_id,security_code,security_name,announcement_date,target_pattern,announcement_title,source_url,notes
backtest_linggang_015,600231,凌钢股份,2022-11-04,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-11/2022-11-04/8648782.PDF,sina doc 8648782; event 2024-04-30; also used in analysis (development)
backtest_linggang_016,600231,凌钢股份,2022-11-19,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-11/2022-11-19/8675469.PDF,sina doc 8675469; event 2024-04-30
backtest_linggang_017,600231,凌钢股份,2022-12-03,guarantee_backtest,关于对外提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-12/2022-12-03/8702270.PDF,sina doc 8702270; event 2024-04-30
backtest_linggang_018,600231,凌钢股份,2022-12-21,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-12/2022-12-21/8738453.PDF,sina doc 8738453; event 2024-04-30
backtest_linggang_019,600231,凌钢股份,2022-12-29,guarantee_backtest,关于对外提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-12/2022-12-29/8755769.PDF,sina doc 8755769; event 2024-04-30; also used in analysis (development)
backtest_linggang_020,600231,凌钢股份,2022-12-29,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-12/2022-12-29/8755768.PDF,sina doc 8755768; event 2024-04-30; also used in analysis (development)
backtest_linggang_021,600231,凌钢股份,2023-02-04,guarantee_backtest,关于对外提供担保进展的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-2/2023-02-04/8817040.PDF,sina doc 8817040; event 2024-04-30
backtest_linggang_022,600231,凌钢股份,2023-02-11,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-2/2023-02-11/8826163.PDF,sina doc 8826163; event 2024-04-30
backtest_linggang_023,600231,凌钢股份,2023-02-17,pledge,关于股东股票质押展期的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-2/2023-02-17/8834519.PDF,sina doc 8834519; event 2024-04-30
backtest_linggang_024,600231,凌钢股份,2023-02-25,capacity,关于炼钢产能置换建设项目进展的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-2/2023-02-25/8847767.PDF,sina doc 8847767; event 2024-04-30; also used in capacity (development)
backtest_linggang_025,600231,凌钢股份,2023-03-04,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-3/2023-03-04/8864419.PDF,sina doc 8864419; event 2024-04-30
backtest_linggang_026,600231,凌钢股份,2023-03-14,guarantee_backtest,关于为控股股东凌钢集团提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-3/2023-03-14/8878611.PDF,sina doc 8878611; event 2024-04-30
backtest_linggang_027,600231,凌钢股份,2023-03-25,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-3/2023-03-25/8909424.PDF,sina doc 8909424; event 2024-04-30
backtest_linggang_028,600231,凌钢股份,2023-03-29,pledge,关于控股股东所持公司股份解质及再质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-3/2023-03-29/8919151.PDF,sina doc 8919151; event 2024-04-30
backtest_linggang_029,600231,凌钢股份,2023-04-29,related_estimate,2023年度日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-4/2023-04-29/9166021.PDF,sina doc 9166021; event 2024-04-30
backtest_linggang_030,600231,凌钢股份,2023-05-20,pledge,关于股东股票质押展期的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-5/2023-05-20/9232684.PDF,sina doc 9232684; event 2024-04-30
backtest_linggang_031,600231,凌钢股份,2023-05-25,guarantee_backtest,关于继续开展资产池业务暨为控股股东提供担保的实施公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-5/2023-05-25/9246137.PDF,sina doc 9246137; event 2024-04-30
backtest_linggang_032,600231,凌钢股份,2023-06-17,guarantee_backtest,关于为控股股东提供担保的实施公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-6/2023-06-17/9295480.PDF,sina doc 9295480; event 2024-04-30; also used in guarantee_test (development)
backtest_linggang_033,600231,凌钢股份,2023-06-20,guarantee_backtest,关于为控股股东凌钢集团提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-6/2023-06-20/9298554.PDF,sina doc 9298554; event 2024-04-30
backtest_linggang_034,600231,凌钢股份,2023-06-28,guarantee_backtest,关于为控股股东提供担保的实施公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-6/2023-06-28/9312627.PDF,sina doc 9312627; event 2024-04-30; also used in guarantee_test (development)
backtest_linggang_035,600231,凌钢股份,2023-06-29,guarantee_backtest,关于为控股股东提供担保的实施公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-6/2023-06-29/9316541.PDF,sina doc 9316541; event 2024-04-30; also used in guarantee_test (development)
backtest_linggang_036,600231,凌钢股份,2023-07-01,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-7/2023-07-01/9322768.PDF,sina doc 9322768; event 2024-04-30; also used in analysis (development)
backtest_linggang_037,600231,凌钢股份,2023-08-31,related_estimate,关于调整2023年度部分日常关联交易金额的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-8/2023-08-31/9489448.PDF,sina doc 9489448; event 2024-04-30
backtest_linggang_038,600231,凌钢股份,2023-09-02,guarantee_backtest,关于对外提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-9/2023-09-02/9500015.PDF,sina doc 9500015; event 2024-04-30; also used in analysis (development)
backtest_linggang_039,600231,凌钢股份,2023-10-28,related_estimate,关于调整2023年度部分日常关联交易金额的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-10/2023-10-28/9603717.PDF,sina doc 9603717; event 2024-04-30
backtest_linggang_040,600231,凌钢股份,2023-11-25,pledge,关于股东通过协议转让方式进行股票质押式回购交易违约处置暨权益变动的提示性公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-11/2023-11-25/9661322.PDF,sina doc 9661322; event 2024-04-30
backtest_linggang_041,600231,凌钢股份,2023-12-06,capacity,关于1#—4#高炉装备升级建设项目进展的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-12/2023-12-06/9681141.PDF,sina doc 9681141; event 2024-04-30; also used in analysis (development)
backtest_linggang_042,600231,凌钢股份,2023-12-21,related_estimate,关于调整2023年度部分日常关联交易金额的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-12/2023-12-21/9724228.PDF,sina doc 9724228; event 2024-04-30
backtest_linggang_043,600231,凌钢股份,2023-12-29,pledge,关于控股股东所持公司股份解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-12/2023-12-29/9746466.PDF,sina doc 9746466; event 2024-04-30
backtest_linggang_044,600231,凌钢股份,2023-12-29,pledge,关于公司股东股份解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2023/2023-12/2023-12-29/9746463.PDF,sina doc 9746463; event 2024-04-30
backtest_linggang_045,600231,凌钢股份,2024-02-20,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-2/2024-02-20/9834247.PDF,sina doc 9834247; event 2024-04-30
backtest_linggang_046,600231,凌钢股份,2024-03-07,pledge,关于股东终止通过协议转让方式进行股票质押式回购交易违约处置的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-07/9858999.PDF,sina doc 9858999; event 2024-04-30
backtest_linggang_047,600231,凌钢股份,2024-03-14,related_estimate,2024年度日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-14/9869615.PDF,sina doc 9869615; event 2024-04-30
backtest_linggang_048,600231,凌钢股份,2024-03-28,pledge,关于股东股票质押展期的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-28/9903593.PDF,sina doc 9903593; event 2024-04-30
backtest_linggang_049,600231,凌钢股份,2024-04-09,pledge,关于公司股东股份解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-4/2024-04-09/9946049.PDF,sina doc 9946049; event 2024-04-30
